link,title,price,neighborhood,movein,size,attributes,description,latitude,longitude
http://sfbay.craigslist.org/eby/roo/6107537750.html,Looking For A Roomate ASAP,750.0,hayward / castro valley,,,"['furnished', 'laundry on site', 'no smoking', 'off-street parking', 'no private bath', 'room not private']"," Looking for a roommate ASAP to share a 1 bedroom apartment in the South Hayward area, walking distance from BART & AC Transit... 1 bath, your own bed, closet space available, quaint kitchen area w/ fridge, microwave, stove, wifi access, TV, Netflix, HULU & More, looking for another guy WORKING with job sane male 25 yo and up, gay preferred but not a requirement, access to pool area and gym facility on site, parking available, available now & lets talk.... The amount listed is SHARED, split rent - ",37.638732,-122.056973
http://sfbay.craigslist.org/eby/roo/6109047782.html,Huge furnished studio with private Entry/Kitchen/Bath in south Fremont,1200.0,fremont / union city / newark,2017-05-01,300,"['dogs are OK - wooof', 'furnished', 'laundry on site', 'street parking', 'private bath', 'private room']"," About the studio: •€ Great location in Fremont Warm Springs: Easy access to 680,880 & 237 to center of the Silicon Valley; Walking distance to Asian grocery stores, restaurants, shopping & parks, etc.; Close to Unitek college, NPU and Ohlone College, etc  •€ Down stairs approximately 300 Square ft including 15 ft *15 square ft huge room with private full bath, private simple kitchen and  private entrance •€ Recently remodeled bathroom with new granite vanity top, new sink, new faucet, new toilet and etc. •€ Private simple kitchen with cabinets, closets, microwave, fridge, and recently remodeled new granite counter top, new sink and new faucet, new electromagnetic stove. •€ Simple kitchen with NO ventilation so frying and any smoke producing is not allowed. No dish washer in kitchen. •€ Laminate floor throughout with large sliding door facing backyard  •€ Room fully furnished with bed, mattress, box, table, sofa, coffee tables, TV table, chairs, Shelf, drawers & etc  •€ Room is downstairs and attached to main house owned by a Chinese family •€ Land lords have 2 dogs who are limited only in landlords's residence and yard. •€ Monthly rent $1200 for one occupant. Single occupant only. No couple and No kids under 18. •€ Monthly rent $1250 for one occupant and a small dog. Plus a deposit for dog $100 •€ Rent includes utilities, Comcast internet WIFI, free use of washer/dryer, laundry detergent and TV plugs for antenna. There is a $50 heating fee for November, December, January and February.  •€ Security Deposit is one month rent $1200 or $1350 with a dog and is due when signing lease contract •€ Plenty Parking on street  •€Available from May 1, 2017  •€Location: Taos @ Tuolumne Dr in a safe and quiet Fremont neighborhood. About the tenant •€ Monthly income should be no less than 3 times of monthly rent •€ No Drugs, No Party, No Overnight Guest, No smoking   •€ A small dog is ok with additional deposit if dog is potty or pad trained and no barking. No cats.  •€ Prefer long term lease If interested, Please answer following questions by email to see the unit: 1. Moving date. 2. Number of occupant. 3. Job location/Monthly income. 5. Cooking style 6. Lease term. 7. Overnight guests? 8. Do you need furniture provided? 9. Do you have pet? Thanks. Please also include your phone number in email response. Please note: Not all of the furniture shown in pictures are landlords'. The pictures shown here don't necessarily reflect current room furniture layout. ",37.467518,-121.914275
http://sfbay.craigslist.org/eby/roo/6109038221.html,Creative room,500.0,albany / el cerrito,,,"['laundry in bldg', 'street parking', 'no private bath', 'private room']"," It is shed in backyard turned out room, in the nice neiborhood, close to shopping mall, bart, bus, freeway, 15 min to U.C. Berkeley. If you need temporary place or in the middle of transition, you can try this place. $500 deposit, $500 rent. ",37.89,-122.2954
http://sfbay.craigslist.org/eby/roo/6109046316.html,Huge furnished studio with private Entry/Kitchen/Bath in south Fremont,1200.0,fremont / union city / newark,2017-05-01,300,"['dogs are OK - wooof', 'furnished', 'laundry on site', 'street parking', 'private bath', 'private room']"," About the studio: •€ Great location in Fremont Warm Springs: Easy access to 680,880 & 237 to center of the Silicon Valley; Walking distance to Asian grocery stores, restaurants, shopping & parks, etc.; Close to Unitek college, NPU and Ohlone College, etc  •€ Down stairs approximately 300 Square ft including 15 ft *15 square ft huge room with private full bath, private simple kitchen and  private entrance •€ Recently remodeled bathroom with new granite vanity top, new sink, new faucet, new toilet and etc. •€ Private simple kitchen with cabinets, closets, microwave, fridge, and recently remodeled new granite counter top, new sink and new faucet, new electromagnetic stove. •€ Simple kitchen with NO ventilation so frying and any smoke producing is not allowed. No dish washer in kitchen. •€ Laminate floor throughout with large sliding door facing backyard  •€ Room fully furnished with bed, mattress, box, table, sofa, coffee tables, TV table, chairs, Shelf, drawers & etc  •€ Room is downstairs and attached to main house owned by a Chinese family •€ Land lords have 2 dogs who are limited only in landlords's residence and yard. •€ Monthly rent $1200 for one occupant. Single occupant only. No couple and No kids under 18. •€ Monthly rent $1250 for one occupant and a small dog. Plus a deposit for dog $100 •€ Rent includes utilities, Comcast internet WIFI, free use of washer/dryer, laundry detergent and TV plugs for antenna. There is a $50 heating fee for November, December, January and February.  •€ Security Deposit is one month rent $1200 or $1350 with a dog and is due when signing lease contract •€ Plenty Parking on street  •€Available from May 1, 2017  •€Location: Taos @ Tuolumne Dr in a safe and quiet Fremont neighborhood. About the tenant •€ Monthly income should be no less than 3 times of monthly rent •€ No Drugs, No Party, No Overnight Guest, No smoking   •€ A small dog is ok with additional deposit if dog is potty or pad trained and no barking. No cats.  •€ Prefer long term lease If interested, Please answer following questions by email to see the unit: 1. Moving date. 2. Number of occupant. 3. Job location/Monthly income. 5. Cooking style 6. Lease term. 7. Overnight guests? 8. Do you need furniture provided? 9. Do you have pet? Thanks. Please also include your phone number in email response. Please note: Not all of the furniture shown in pictures are landlords'. The pictures shown here don't necessarily reflect current room furniture layout. ",37.467518,-121.914275
http://sfbay.craigslist.org/eby/roo/6109042023.html,1 Shared room in Hayward condo,690.0,hayward / castro valley,2017-05-01,1254,"['w/d in unit', 'no smoking', 'street parking', 'no private bath', 'private room']"," Have 1 unfurnished room and currently looking for 1 female roommate (no kid) for a 2 story 1,254 sqft condo. Students OK. Large room asking for $690. Shared washer and dryer are in unit. All utilities (trash, water, electricity) are included. Wifi is included as well. Shared shower for all roommates, including the homeowner who will be residing downstairs. Another 1/2 bath is located downstairs. Shared kitchen. Prefer someone who does light cooking. Plenty of street parking. Must gross 3x rental income. One month deposit. Prefer 6 months lease. Must have decent credit. No party, no drugs, no smoking, no overnight guest(s), and no pets. Expect to be quiet at bedtime after 10pm. Need to be considerate and clean up after yourself. Available to move May 1, 2017. Pls contact Brian at show contact info or show contact info cell for a rental application. Prefer e-mail or text. Available to view the condo everyday after 6:30pm. ",37.626346,-122.095522
http://sfbay.craigslist.org/eby/roo/6109034759.html,Northridge Apartment in Pleasant Hill,,concord / pleasant hill / martinez,,,"['laundry on site', 'attached garage', 'private bath', 'private room']"," Hi, I am looking for a whole unit replacement (master room, single room, and living room) in building B. It has washing machine and dryer inside the unit. It is 7-10 mins walk to DVC, Target, Safeway. It will be available starting from June. the pictures are the master room which comes with a private bathroom and walk-in closet. All furnitures are for sale (negotiable). Please contact me if you have questions Thank you :) ",37.973522,-122.070774
http://sfbay.craigslist.org/eby/roo/6095967785.html,Small Room- Best for student or commuter (no day sleepers),550.0,San Leandro/ close to your College/Bart,,,"['furnished', 'laundry on site', 'no smoking', 'street parking', 'no private bath', 'private room']", Private room space - one commuter bed is open this month/ NO COUPLES for night use only ONE BED OPEN IN A SMALL ROOM- no day sleepers - must show proof of work or be a full time student - with proof -- All Men - we are located near a San Leandro Bart station Easy access to UCB/ BCC/ Mills / Merritt college/ Cal State U East Bay/ Chabot College/ Art acad/ College of Arts and Crafts/ College of Alameda/ Laney College (small fee for wifi) BEST FOR COLLEGE STUDENT 550 Month to Month Near Mall/ banks/ Walmart/Target/ 24-7 Gym (no parking on site - daily parking rate at BART) ,,
http://sfbay.craigslist.org/eby/roo/6109029762.html,Room for Rent ~ Sweet Home,950.0,oakland hills / mills,,,"['furnished', 'w/d in unit', 'street parking', 'no private bath', 'private room']"," We are looking for a housemate to share our warm home in the hills. We are 3 adults seeking a responsible, easy going, animal loving, and trustworthy female. Our house is in the hills w/ a view of the bay, a big backyard, parking, and laundry too. The bedroom has a Queen bed, bookshelves, and a dresser. There are hard wood floors, and a good amount of closet/storage space. The windows look out to the backyard with flowering trees. There is a charming spacious kitchen w/ 50's tile and a cool vintage stove! We recycle and compost everything. The neighborhood is nice and our neighbors are friendly. We also have a gentle giant dog (a Great Pyrenees), and 2 adorable young cats. Utilities are included, as well as wireless internet, and cable. If you love animals, art, food, wine, and care for the environment, then we'll get along great! We are all really easy going, clean, and respectful of one another. Please, no additional pets, or couples. ~ Available June 1st! Please send us a message about you and your contact info if you are interested. We look forward to meeting you! ",,
http://sfbay.craigslist.org/eby/roo/6109029605.html,Fully furnihed room/Beautiful house- May8/July31 - Utilities included,1300.0,berkeley,2017-04-28,144,"['furnished', 'laundry on site', 'off-street parking', 'no private bath', 'private room']"," I'm subleasing my fully furnished room for this summer 2017 (May 8 - July 31). The house is located in Dana St. Berkeley zip 94704. It's about a 5-minute walk from Campus. The house has 5 bedrooms, 2 bathrooms (one upstairs and one downstairs), a big living room, a dining room, a large fully equipped kitchen with laundry station (laundry machine and dryer), and a very beautiful backyard equipped with a fire-pit, couches, barbecue grill, etc. Right now, it's inhabited exclusively by Berkeley LLM students, currently, we are tree boys and two girls. Regarding the price, it's $ 3.750 (including power, gas, water and internet) for the full period from May 8 till July 31. ",37.864453,-122.260859
http://sfbay.craigslist.org/eby/roo/6088764523.html,Green Canyon House With Spiritual Likeminded. Int'l. Near Highway.,840.0,fairfield / vacaville,,,"['cats are OK - purrr', 'dogs are OK - wooof', 'w/d in unit', 'no smoking', 'off-street parking', 'no private bath', 'private room']"," Enjoy our home part of full time as you like. Great place to work from home through the internet. Business meeting rooms and offices nearby. Looking for quiet spiritual roommate to join friendly house community. It's five hundred or eight forty a month plus utilities. Optional guest room, etc. It's affordable because we're want to live with bright and loving souls. Open house this Sat evening. Then you can stay on for our free Sat dinner party. At night enjoy the fireplace gathering followed by viewing of stars from the hot tub without city light pollution. - Secluded Rustic Setting With Enchanting Views - Near Vineyards & Million Dollar Estates - Private Nature Trail - Friendly - Your Private Bedroom Overlooking Unspoiled Oak Hills - Optional Fairfield Office Suite For Rent In a pocket of secluded nature surrounded by places like downtown Napa and highway 80 corridor. We are three miles from Fairfield's Gordon Valley, part of the greater Suisun Valley. Only 15 min to I-80 and 12. On multiple acres, and surrounded by untouched wooden hills in all directions. Some of the most poetic and natural views in the Solano Napa region. Enjoy outdoor Jacuzzi, deck, and rustic chairs under a large oak tree. Private enchanted nature trail starts from near the house. Details at www.StevesParties.com ",,
